Rental_ID,Customer_Type,Customer_Gender,Customer_Age,License_Type
123,Local,Female,28,International
124,Local,Male,63,Sri Lankan
125,Local,Female,27,International
126,Tourist,Female,46,Sri Lankan
127,Corporate,Female,62,Sri Lankan
128,Tourist,Female,23,International
129,Corporate,Female,67,Sri Lankan
130,Corporate,Female,63,International
131,Local,Female,38,Sri Lankan
132,Corporate,Male,59,International
133,Tourist,Female,53,International
134,Corporate,Male,56,Sri Lankan
135,Local,Male,42,International
136,Tourist,Male,22,Sri Lankan
137,Tourist,Male,34,Sri Lankan
138,Local,Male,23,International
139,Local,Female,22,Sri Lankan
140,Local,Male,50,International
141,Local,Female,26,Sri Lankan
142,Tourist,Male,68,International
143,Tourist,Female,28,Sri Lankan
144,Local,Male,45,International
145,Corporate,Male,35,International
146,Tourist,Male,62,International
147,Tourist,Female,39,Sri Lankan
148,Tourist,Female,28,Sri Lankan
149,Corporate,Male,33,International
150,Corporate,Female,43,International
151,Corporate,Male,32,International
152,Corporate,Female,68,International
153,Local,Female,50,Sri Lankan
154,Tourist,Female,24,Sri Lankan
155,Tourist,Male,43,International
156,Tourist,Female,68,International
157,Corporate,Female,65,International
158,Tourist,Male,32,International
159,Corporate,Male,62,Sri Lankan
160,Tourist,Female,47,International
161,Tourist,Female,68,Sri Lankan
162,Corporate,Male,28,Sri Lankan
163,Local,Male,46,International
164,Local,Female,66,Sri Lankan
165,Corporate,Male,27,Sri Lankan
166,Tourist,Male,23,International
167,Tourist,Male,24,International
168,Tourist,Male,64,Sri Lankan
169,Corporate,Male,28,International
170,Tourist,Female,65,International
171,Local,Male,32,International
172,Local,Female,39,International
173,Tourist,Male,37,Sri Lankan
174,Tourist,Female,57,International
175,Tourist,Female,53,International
176,Corporate,Female,59,Sri Lankan
177,Corporate,Male,35,International
178,Corporate,Female,53,Sri Lankan
179,Corporate,Male,37,International
180,Corporate,Female,25,Sri Lankan
181,Tourist,Female,50,International
182,Corporate,Male,69,Sri Lankan
183,Tourist,Male,38,International
184,Tourist,Female,48,International
185,Local,Male,48,Sri Lankan
186,Tourist,Male,58,Sri Lankan
187,Tourist,Female,37,Sri Lankan
188,Local,Male,65,International
189,Corporate,Female,53,International
190,Tourist,Female,27,Sri Lankan
191,Corporate,Male,58,International
192,Local,Female,32,International
193,Tourist,Female,28,International
194,Tourist,Female,52,Sri Lankan
195,Local,Male,37,Sri Lankan
196,Tourist,Male,26,International
197,Corporate,Female,38,International
198,Corporate,Female,43,International
199,Corporate,Female,56,International
200,Tourist,Male,65,Sri Lankan
201,Corporate,Female,44,Sri Lankan
202,Tourist,Male,42,International
203,Local,Male,29,Sri Lankan
204,Tourist,Female,62,Sri Lankan
205,Local,Male,40,International
206,Corporate,Female,37,Sri Lankan
207,Tourist,Female,50,Sri Lankan
208,Tourist,Female,36,Sri Lankan
209,Local,Female,63,Sri Lankan
210,Corporate,Male,37,Sri Lankan
211,Local,Male,54,Sri Lankan
212,Corporate,Male,63,International
213,Tourist,Female,37,Sri Lankan
214,Local,Female,34,Sri Lankan
215,Local,Male,61,International
216,Tourist,Male,25,Sri Lankan
217,Corporate,Female,46,Sri Lankan
218,Local,Male,36,Sri Lankan
219,Local,Female,23,Sri Lankan
220,Corporate,Male,30,International
221,Local,Female,27,International
222,Local,Male,60,Sri Lankan
223,Tourist,Female,34,Sri Lankan
224,Tourist,Male,42,Sri Lankan
225,Corporate,Female,51,International
226,Corporate,Female,45,Sri Lankan
227,Tourist,Female,27,International
228,Local,Female,65,Sri Lankan
229,Local,Male,27,Sri Lankan
230,Corporate,Male,36,International
231,Tourist,Male,56,International
232,Corporate,Male,42,Sri Lankan
233,Corporate,Female,48,Sri Lankan
234,Corporate,Female,63,Sri Lankan
235,Local,Female,37,Sri Lankan
236,Corporate,Male,28,International
237,Corporate,Male,42,International
238,Local,Male,37,International
239,Local,Male,67,International
240,Tourist,Female,64,Sri Lankan
241,Tourist,Female,23,International
242,Tourist,Male,64,Sri Lankan
243,Tourist,Female,63,Sri Lankan
244,Tourist,Female,47,International
245,Local,Female,60,International
246,Tourist,Male,39,Sri Lankan
247,Corporate,Male,60,International
248,Local,Female,61,International
249,Corporate,Male,42,Sri Lankan
250,Local,Female,34,Sri Lankan
251,Local,Male,30,Sri Lankan
252,Tourist,Female,62,International
253,Tourist,Female,62,Sri Lankan
254,Corporate,Male,26,International
255,Tourist,Male,22,International
256,Tourist,Male,52,Sri Lankan
257,Tourist,Male,63,International
258,Corporate,Female,31,Sri Lankan
259,Local,Female,53,Sri Lankan
260,Corporate,Female,51,Sri Lankan
261,Tourist,Male,61,Sri Lankan
262,Tourist,Male,64,International
263,Corporate,Male,35,International
264,Local,Female,47,Sri Lankan
265,Corporate,Male,29,International
266,Corporate,Male,38,International
267,Corporate,Male,39,International
268,Local,Male,42,Sri Lankan
269,Corporate,Female,49,International
270,Local,Female,44,International
271,Local,Female,51,International
272,Tourist,Female,23,Sri Lankan
273,Corporate,Male,60,Sri Lankan
274,Local,Female,40,International
275,Corporate,Male,21,Sri Lankan
276,Local,Female,55,International
277,Corporate,Male,69,International
278,Local,Male,55,Sri Lankan
279,Tourist,Male,29,International
280,Corporate,Male,47,Sri Lankan
281,Corporate,Female,39,Sri Lankan
282,Tourist,Male,33,Sri Lankan
283,Tourist,Female,30,Sri Lankan
284,Corporate,Female,62,Sri Lankan
285,Corporate,Male,28,Sri Lankan
286,Tourist,Male,57,International
287,Corporate,Male,46,International
288,Corporate,Male,27,International
289,Tourist,Male,40,Sri Lankan
290,Local,Female,57,International
291,Local,Female,61,Sri Lankan
292,Corporate,Female,35,International
293,Tourist,Female,61,International
294,Local,Male,33,International
295,Tourist,Female,53,Sri Lankan
296,Tourist,Female,37,Sri Lankan
297,Corporate,Female,50,International
298,Corporate,Male,38,Sri Lankan
299,Corporate,Male,29,International
300,Local,Female,62,Sri Lankan
301,Corporate,Male,54,International
302,Corporate,Female,27,International
303,Tourist,Male,66,Sri Lankan
304,Tourist,Male,22,International
305,Tourist,Female,21,Sri Lankan
306,Local,Male,23,Sri Lankan
307,Local,Male,58,International
308,Local,Male,61,Sri Lankan
309,Tourist,Male,28,Sri Lankan
310,Local,Male,25,Sri Lankan
311,Tourist,Male,43,Sri Lankan
312,Local,Female,43,Sri Lankan
313,Tourist,Female,47,Sri Lankan
314,Corporate,Female,49,International
315,Corporate,Male,58,Sri Lankan
316,Tourist,Female,24,Sri Lankan
317,Tourist,Male,65,Sri Lankan
318,Local,Female,22,International
319,Tourist,Female,55,International
320,Tourist,Female,58,International
321,Corporate,Female,65,International
322,Local,Female,66,International
323,Local,Male,32,Sri Lankan
324,Corporate,Male,60,Sri Lankan
325,Tourist,Male,25,Sri Lankan
326,Tourist,Male,45,International
327,Local,Male,45,Sri Lankan
328,Corporate,Female,23,Sri Lankan
329,Tourist,Female,64,International
330,Corporate,Female,59,International
331,Corporate,Male,44,International
332,Local,Female,28,Sri Lankan
333,Tourist,Male,26,Sri Lankan
334,Local,Male,33,International
335,Tourist,Male,64,Sri Lankan
336,Tourist,Female,51,International
337,Local,Male,52,Sri Lankan
338,Corporate,Female,22,Sri Lankan
339,Local,Male,47,Sri Lankan
340,Local,Male,29,Sri Lankan
341,Corporate,Male,42,Sri Lankan
342,Local,Female,61,International
343,Tourist,Female,38,International
344,Tourist,Female,40,Sri Lankan
345,Corporate,Male,55,Sri Lankan
346,Tourist,Female,40,Sri Lankan
347,Tourist,Male,56,International
348,Local,Male,49,Sri Lankan
349,Local,Female,22,Sri Lankan
350,Corporate,Female,39,Sri Lankan
351,Local,Female,60,Sri Lankan
352,Tourist,Male,23,International
353,Corporate,Female,59,Sri Lankan
354,Tourist,Female,38,Sri Lankan
355,Local,Male,23,International
356,Local,Male,68,Sri Lankan
357,Tourist,Male,47,International
358,Local,Male,50,Sri Lankan
359,Corporate,Male,51,International
360,Corporate,Male,23,Sri Lankan
361,Local,Male,25,Sri Lankan
362,Local,Male,53,Sri Lankan
363,Tourist,Male,55,International
364,Local,Female,27,Sri Lankan
365,Tourist,Female,25,International
366,Tourist,Female,44,International
367,Corporate,Male,62,International
368,Local,Male,40,Sri Lankan
369,Corporate,Male,68,International
370,Tourist,Male,43,International
371,Local,Female,53,International
372,Tourist,Female,38,International
373,Tourist,Female,29,International
374,Tourist,Female,39,International
375,Tourist,Female,41,Sri Lankan
376,Corporate,Female,63,International
377,Tourist,Female,69,Sri Lankan
378,Local,Male,54,Sri Lankan
379,Corporate,Female,37,International
380,Tourist,Female,48,Sri Lankan
381,Local,Female,55,International
382,Local,Male,28,International
383,Tourist,Male,50,Sri Lankan
384,Tourist,Male,52,International
385,Corporate,Female,47,Sri Lankan
386,Tourist,Female,60,International
387,Local,Male,35,Sri Lankan
388,Local,Female,60,Sri Lankan
389,Corporate,Female,26,Sri Lankan
390,Corporate,Female,55,Sri Lankan
391,Local,Male,46,International
392,Tourist,Male,68,International
393,Corporate,Male,38,Sri Lankan
394,Corporate,Female,38,Sri Lankan
395,Local,Female,51,International
396,Tourist,Female,63,Sri Lankan
397,Corporate,Female,63,International
398,Tourist,Female,38,Sri Lankan
399,Local,Male,45,International
400,Corporate,Male,57,International
401,Tourist,Male,68,International
402,Local,Male,52,International
403,Corporate,Female,69,International
404,Corporate,Female,46,Sri Lankan
405,Local,Female,44,Sri Lankan
406,Local,Male,39,Sri Lankan
407,Tourist,Female,55,International
408,Local,Female,54,International
409,Tourist,Male,59,International
410,Corporate,Male,22,Sri Lankan
411,Tourist,Female,67,International
412,Local,Female,64,International
413,Tourist,Male,26,International
414,Tourist,Male,69,International
415,Corporate,Female,28,Sri Lankan
416,Local,Female,37,International
417,Local,Female,55,International
418,Tourist,Male,38,International
419,Tourist,Male,25,International
420,Tourist,Female,37,International
421,Tourist,Female,34,Sri Lankan
422,Local,Male,68,Sri Lankan
423,Corporate,Female,50,International
424,Local,Male,57,International
425,Tourist,Male,25,International
426,Corporate,Female,38,Sri Lankan
427,Local,Male,47,International
428,Tourist,Female,59,Sri Lankan
429,Local,Male,51,Sri Lankan
430,Local,Male,36,Sri Lankan
431,Local,Male,27,International
432,Tourist,Female,52,Sri Lankan
433,Corporate,Female,54,International
434,Tourist,Female,42,Sri Lankan
435,Tourist,Male,46,Sri Lankan
436,Corporate,Male,68,Sri Lankan
437,Corporate,Male,65,Sri Lankan
438,Corporate,Female,59,Sri Lankan
439,Local,Female,68,Sri Lankan
440,Local,Male,52,International
441,Corporate,Male,56,International
442,Local,Female,27,International
443,Corporate,Male,38,Sri Lankan
444,Tourist,Male,33,Sri Lankan
445,Tourist,Female,60,International
446,Local,Female,24,International
447,Corporate,Female,46,Sri Lankan
448,Tourist,Female,27,International
449,Corporate,Female,21,International
450,Local,Male,41,Sri Lankan
451,Corporate,Female,22,International
452,Local,Female,68,Sri Lankan
453,Local,Male,49,International
454,Corporate,Female,32,International
455,Tourist,Male,44,Sri Lankan
456,Corporate,Male,39,Sri Lankan
457,Tourist,Female,34,International
458,Corporate,Female,39,Sri Lankan
459,Local,Male,67,International
460,Tourist,Male,42,Sri Lankan
461,Tourist,Male,41,Sri Lankan
462,Local,Male,30,Sri Lankan
463,Local,Male,59,Sri Lankan
464,Corporate,Female,21,International
465,Corporate,Male,57,Sri Lankan
466,Local,Male,48,International
467,Local,Female,43,Sri Lankan
468,Tourist,Male,23,International
469,Local,Female,51,International
470,Local,Female,28,International
471,Tourist,Female,49,Sri Lankan
472,Local,Male,38,International
473,Corporate,Female,63,International
474,Corporate,Male,47,International
475,Tourist,Female,46,Sri Lankan
476,Tourist,Female,40,International
477,Corporate,Female,43,International
478,Local,Female,48,International
479,Corporate,Female,37,Sri Lankan
480,Tourist,Female,33,Sri Lankan
481,Corporate,Male,52,International
482,Corporate,Male,58,Sri Lankan
483,Corporate,Male,53,Sri Lankan
484,Corporate,Male,35,Sri Lankan
485,Tourist,Male,48,Sri Lankan
486,Local,Female,53,Sri Lankan
487,Tourist,Female,38,International
488,Local,Female,24,International
489,Corporate,Male,23,Sri Lankan
490,Tourist,Female,53,International
491,Local,Female,59,Sri Lankan
492,Corporate,Female,31,Sri Lankan
493,Tourist,Male,30,Sri Lankan
494,Corporate,Male,43,International
495,Corporate,Male,60,International
496,Local,Female,32,International
497,Tourist,Female,27,International
498,Local,Female,39,Sri Lankan
499,Tourist,Female,51,International
500,Tourist,Male,43,International
501,Corporate,Male,31,International
502,Local,Male,63,Sri Lankan
503,Local,Male,69,International
504,Corporate,Male,67,International
505,Local,Female,31,International
506,Tourist,Female,30,Sri Lankan
507,Corporate,Female,59,Sri Lankan
508,Corporate,Male,54,Sri Lankan
509,Local,Female,63,International
510,Local,Female,59,International
511,Corporate,Female,64,Sri Lankan
512,Tourist,Female,39,International
513,Local,Male,34,Sri Lankan
514,Tourist,Female,57,International
515,Tourist,Female,48,International
516,Local,Female,43,International
517,Corporate,Female,45,International
518,Tourist,Female,48,Sri Lankan
519,Corporate,Male,48,Sri Lankan
520,Local,Female,28,Sri Lankan
521,Local,Female,25,International
522,Tourist,Male,69,Sri Lankan
523,Local,Male,59,International
524,Tourist,Male,56,Sri Lankan
525,Local,Male,60,International
526,Tourist,Male,45,Sri Lankan
527,Tourist,Female,26,Sri Lankan
528,Local,Female,46,International
529,Tourist,Male,45,Sri Lankan
530,Corporate,Male,68,International
531,Local,Male,59,Sri Lankan
532,Local,Male,42,Sri Lankan
533,Corporate,Male,55,International
534,Corporate,Female,49,Sri Lankan
535,Local,Female,34,International
536,Local,Male,21,Sri Lankan
537,Corporate,Female,47,Sri Lankan
538,Corporate,Male,31,Sri Lankan
539,Tourist,Female,24,Sri Lankan
540,Corporate,Female,49,International
541,Tourist,Male,56,International
542,Local,Male,35,International
543,Local,Female,25,International
544,Local,Female,44,International
545,Local,Female,43,International
546,Corporate,Male,61,Sri Lankan
547,Local,Female,40,International
548,Corporate,Female,39,International
549,Corporate,Female,38,Sri Lankan
550,Tourist,Female,46,Sri Lankan
551,Local,Male,46,Sri Lankan
552,Local,Female,51,Sri Lankan
553,Local,Male,63,International
554,Corporate,Female,61,International
555,Local,Male,44,Sri Lankan
556,Tourist,Male,42,International
557,Corporate,Male,45,Sri Lankan
558,Corporate,Male,27,Sri Lankan
559,Local,Female,49,International
560,Local,Male,58,International
561,Local,Male,50,International
562,Tourist,Female,29,International
563,Tourist,Male,34,Sri Lankan
564,Local,Female,37,Sri Lankan
565,Corporate,Male,27,Sri Lankan
566,Local,Female,30,International
567,Tourist,Male,40,Sri Lankan
568,Corporate,Male,43,International
569,Tourist,Male,66,Sri Lankan
570,Tourist,Female,34,International
571,Corporate,Male,44,Sri Lankan
572,Corporate,Male,34,Sri Lankan
573,Local,Female,27,International
574,Corporate,Male,52,Sri Lankan
575,Tourist,Female,27,Sri Lankan
576,Corporate,Male,22,International
577,Corporate,Female,23,International
578,Local,Male,54,Sri Lankan
579,Tourist,Male,40,International
580,Corporate,Female,28,Sri Lankan
581,Local,Female,29,Sri Lankan
582,Corporate,Male,43,Sri Lankan
583,Tourist,Male,36,Sri Lankan
584,Tourist,Male,63,International
585,Corporate,Female,29,International
586,Corporate,Female,27,Sri Lankan
587,Local,Male,28,Sri Lankan
588,Tourist,Female,30,International
589,Tourist,Female,28,International
590,Local,Female,51,International
591,Corporate,Male,42,International
592,Corporate,Female,63,Sri Lankan
593,Local,Female,36,Sri Lankan
594,Tourist,Male,59,International
595,Corporate,Female,27,Sri Lankan
596,Tourist,Male,39,International
597,Tourist,Male,22,International
598,Corporate,Female,22,International
599,Local,Male,67,International
600,Local,Female,21,Sri Lankan
601,Corporate,Male,25,Sri Lankan
602,Local,Male,46,Sri Lankan
603,Tourist,Male,65,International
604,Tourist,Female,29,Sri Lankan
605,Tourist,Female,48,International
606,Tourist,Female,65,International
607,Corporate,Male,56,International
608,Tourist,Female,37,Sri Lankan
609,Local,Female,59,Sri Lankan
610,Local,Female,60,Sri Lankan
611,Corporate,Male,62,International
612,Corporate,Male,57,Sri Lankan
613,Local,Male,34,International
614,Tourist,Male,33,International
615,Tourist,Male,30,Sri Lankan
616,Corporate,Female,38,International
617,Corporate,Male,53,International
618,Local,Female,43,International
619,Tourist,Male,51,Sri Lankan
620,Local,Female,25,Sri Lankan
621,Corporate,Female,42,International
622,Tourist,Female,45,Sri Lankan
623,Corporate,Female,48,International
624,Local,Female,67,International
625,Local,Male,31,Sri Lankan
626,Corporate,Female,63,Sri Lankan
627,Tourist,Male,53,International
628,Corporate,Male,45,International
629,Local,Female,56,Sri Lankan
630,Corporate,Female,67,Sri Lankan
631,Corporate,Female,33,Sri Lankan
632,Corporate,Female,25,International
633,Tourist,Female,56,Sri Lankan
634,Corporate,Female,47,Sri Lankan
635,Local,Female,59,International
636,Tourist,Female,60,International
637,Tourist,Male,33,Sri Lankan
638,Tourist,Male,37,Sri Lankan
639,Corporate,Male,55,International
640,Tourist,Female,44,International
641,Tourist,Female,35,International
642,Tourist,Female,68,Sri Lankan
643,Local,Male,38,Sri Lankan
644,Corporate,Female,65,Sri Lankan
645,Local,Female,40,International
646,Tourist,Female,50,International
647,Corporate,Male,67,International
648,Tourist,Female,69,International
649,Local,Female,62,Sri Lankan
650,Tourist,Male,58,Sri Lankan
651,Local,Male,67,Sri Lankan
652,Tourist,Female,54,International
653,Corporate,Female,64,International
654,Corporate,Male,55,International
655,Tourist,Female,61,Sri Lankan
656,Corporate,Female,62,International
657,Tourist,Female,40,International
658,Corporate,Female,54,Sri Lankan
659,Corporate,Female,38,International
660,Tourist,Male,25,International
661,Tourist,Male,58,International
662,Corporate,Female,21,Sri Lankan
663,Local,Female,46,Sri Lankan
664,Tourist,Female,66,Sri Lankan
665,Corporate,Male,52,International
666,Corporate,Male,53,Sri Lankan
667,Local,Female,56,International
668,Tourist,Male,57,International
669,Local,Female,42,International
670,Tourist,Male,65,International
671,Tourist,Male,50,Sri Lankan
672,Corporate,Male,66,International
673,Local,Female,69,Sri Lankan
674,Local,Male,49,International
675,Tourist,Female,67,International
676,Corporate,Male,21,International
677,Local,Male,62,International
678,Corporate,Male,46,International
679,Corporate,Male,46,International
680,Tourist,Female,61,International
681,Tourist,Male,44,Sri Lankan
682,Local,Male,47,Sri Lankan
683,Tourist,Male,60,International
684,Local,Female,21,International
685,Local,Female,47,Sri Lankan
686,Tourist,Male,26,Sri Lankan
687,Local,Female,34,International
688,Corporate,Male,67,International
689,Corporate,Male,24,International
690,Corporate,Male,51,International
691,Tourist,Female,47,International
692,Corporate,Male,50,Sri Lankan
693,Corporate,Male,65,Sri Lankan
694,Corporate,Male,68,Sri Lankan
695,Tourist,Male,68,Sri Lankan
696,Tourist,Male,23,Sri Lankan
697,Tourist,Female,49,International
698,Corporate,Male,63,International
699,Tourist,Male,57,International
700,Corporate,Female,63,International
701,Local,Male,32,Sri Lankan
702,Local,Female,23,International
703,Tourist,Male,32,International
704,Corporate,Male,42,International
705,Corporate,Male,38,International
706,Tourist,Male,31,International
707,Tourist,Female,56,International
708,Tourist,Male,63,Sri Lankan
709,Corporate,Female,63,International
710,Tourist,Male,28,International
711,Corporate,Female,66,International
712,Local,Male,34,International
713,Tourist,Male,30,Sri Lankan
714,Tourist,Male,53,Sri Lankan
715,Corporate,Female,22,Sri Lankan
716,Local,Male,54,International
717,Tourist,Male,38,International
718,Local,Male,65,International
719,Local,Male,23,Sri Lankan
720,Corporate,Female,33,International
721,Local,Female,37,Sri Lankan
722,Corporate,Female,65,Sri Lankan
723,Local,Male,51,Sri Lankan
724,Tourist,Female,41,Sri Lankan
725,Tourist,Male,52,International
726,Local,Female,44,Sri Lankan
727,Local,Female,35,International
728,Local,Male,45,Sri Lankan
729,Tourist,Male,44,Sri Lankan
730,Local,Female,53,Sri Lankan
731,Local,Female,35,Sri Lankan
732,Corporate,Male,54,Sri Lankan
733,Tourist,Male,25,Sri Lankan
734,Tourist,Female,37,Sri Lankan
735,Tourist,Male,68,Sri Lankan
736,Tourist,Female,35,Sri Lankan
737,Local,Female,63,International
738,Corporate,Female,66,International
739,Corporate,Male,42,Sri Lankan
740,Corporate,Male,66,International
741,Local,Male,65,Sri Lankan
742,Local,Female,29,International
743,Local,Female,45,International
744,Corporate,Female,60,Sri Lankan
745,Local,Female,62,International
746,Tourist,Male,46,International
747,Local,Male,38,International
748,Corporate,Male,45,Sri Lankan
749,Tourist,Female,41,International
750,Local,Female,36,International
751,Tourist,Male,66,International
752,Local,Female,37,Sri Lankan
753,Local,Female,41,Sri Lankan
754,Local,Male,59,Sri Lankan
755,Tourist,Male,42,International
756,Corporate,Female,62,Sri Lankan
757,Corporate,Male,42,Sri Lankan
758,Local,Female,43,International
759,Tourist,Male,64,International
760,Local,Female,25,International
761,Tourist,Female,41,Sri Lankan
762,Corporate,Female,64,International
763,Corporate,Female,62,Sri Lankan
764,Local,Female,63,Sri Lankan
765,Corporate,Male,38,International
766,Local,Female,44,Sri Lankan
767,Tourist,Female,30,Sri Lankan
768,Corporate,Male,58,Sri Lankan
769,Local,Male,46,Sri Lankan
770,Local,Male,21,Sri Lankan
771,Tourist,Male,45,International
772,Tourist,Female,63,International
773,Local,Female,40,Sri Lankan
774,Local,Female,55,International
775,Corporate,Female,22,International
776,Tourist,Male,54,International
777,Local,Male,53,Sri Lankan
778,Local,Male,32,International
779,Local,Female,65,Sri Lankan
780,Local,Male,54,Sri Lankan
781,Local,Male,34,Sri Lankan
782,Local,Female,42,International
783,Tourist,Female,68,International
784,Local,Male,30,International
785,Corporate,Male,65,Sri Lankan
786,Tourist,Male,48,Sri Lankan
787,Local,Male,63,Sri Lankan
788,Corporate,Male,56,Sri Lankan
789,Local,Female,49,International
790,Local,Female,38,International
791,Local,Female,65,Sri Lankan
792,Tourist,Female,53,Sri Lankan
793,Local,Male,67,Sri Lankan
794,Tourist,Female,21,International
795,Local,Male,45,Sri Lankan
796,Local,Male,31,Sri Lankan
797,Tourist,Male,32,International
798,Tourist,Male,32,International
799,Corporate,Male,46,Sri Lankan
800,Local,Female,65,International
801,Corporate,Male,33,International
802,Corporate,Female,22,International
803,Tourist,Male,52,Sri Lankan
804,Local,Male,26,International
805,Corporate,Male,25,Sri Lankan
806,Local,Female,27,International
807,Tourist,Male,58,Sri Lankan
808,Local,Male,23,International
809,Corporate,Male,37,Sri Lankan
810,Tourist,Female,32,International
811,Tourist,Female,25,Sri Lankan
812,Tourist,Male,29,Sri Lankan
813,Tourist,Male,41,Sri Lankan
814,Corporate,Female,21,International
815,Local,Female,34,Sri Lankan
816,Local,Male,65,International
817,Local,Female,27,International
818,Corporate,Male,52,Sri Lankan
819,Local,Male,61,International
820,Local,Female,43,International
821,Tourist,Female,26,International
822,Local,Male,33,Sri Lankan
823,Tourist,Male,62,Sri Lankan
824,Corporate,Male,69,Sri Lankan
825,Local,Female,41,Sri Lankan
826,Corporate,Female,65,International
827,Local,Male,55,Sri Lankan
828,Tourist,Male,36,International
829,Corporate,Male,22,Sri Lankan
830,Local,Female,62,Sri Lankan
831,Tourist,Female,36,International
832,Local,Male,25,Sri Lankan
833,Corporate,Female,45,International
834,Corporate,Female,27,International
835,Tourist,Female,49,International
836,Corporate,Female,22,International
837,Corporate,Female,29,International
838,Local,Female,67,International
839,Corporate,Female,57,Sri Lankan
840,Local,Female,64,Sri Lankan
841,Corporate,Female,47,Sri Lankan
842,Corporate,Male,30,Sri Lankan
843,Local,Male,37,International
844,Local,Female,63,Sri Lankan
845,Local,Female,67,International
846,Corporate,Female,26,Sri Lankan
847,Local,Female,67,Sri Lankan
848,Tourist,Male,27,International
849,Tourist,Female,50,Sri Lankan
850,Tourist,Female,40,Sri Lankan
851,Tourist,Female,22,International
